# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
15547.3000 M299 796314 4 6719.3000 w112 p14 188 N w112->c46->p34->p19->p14
15565.4000 M412 903144 2 3440.4000 t120 w118 242 N t120->c57->w118
15569.1000 M424 845697 2 3082.1000 c63 c56 248 N c63->p9->c56
15581.0000 M349 814718 3 5312.0000 p31 w90 211 N p31->p35->p17->w90
15589.1000 M125 717958 3 11855.1000 t124 p26 102 N t124->t125->c49->p26
15698.8000 M464 634186 2 2063.8000 w90 c44 265 N w90->c42->c44
15768.2000 M501 715701 2 1000.2000 c41 c65 283 N c41->w82->c65
15784.4000 M326 692309 2 6184.4000 c69 w105 196 N c69->p36->w105
15794.4000 M514 758127 1 650.4000 p36 c66 289 N p36->c66
15821.8000 M180 766653 1 10469.8000 c76 p5 125 N c76->p5
15876.3000 M355 767553 3 5435.3000 w96 w85 209 N w96->w90->p4->w85
15899.9000 M360 598098 3 5306.9000 p12 w85 211 N p12->w103->t123->w85
16063.1000 M172 926578 1 10961.1000 p3 p8 117 N p3->p8
16107.3000 M223 948504 3 9493.3000 p10 p17 141 N p10->t121->p22->p17
16158.4000 M408 574160 4 4159.4000 p15 p32 230 N p15->c52->w90->p22->p32
16169.3000 M530 599585 1 530.3000 w115 c41 291 N w115->c41
16192.4000 M427 628778 3 3619.4000 p20 w117 239 N p20->c48->p6->w117
16211.2000 M270 548566 2 8210.2000 p15 c55 163 N p15->c40->c55
16215.6000 M477 680210 3 2182.6000 p0 w112 263 N p0->w99->c40->w112
16243.8000 M347 679688 3 6033.8000 c78 c62 199 N c78->w89->p12->c62
16269.0000 M344 616575 2 6144.0000 w92 w89 197 N w92->c41->w89
16306.6000 M520 932677 2 975.6000 w94 w117 283 N w94->p13->w117
16312.0000 M506 796298 3 1406.0000 w82 c63 276 N w82->c59->w111->c63
16313.3000 M56 782957 3 14636.3000 c57 w108 56 N c57->c43->c56->w108
16347.0000 M377 937701 2 5261.0000 p13 c41 212 N p13->c49->c41
16360.0000 M451 898514 4 3090.0000 w99 p11 248 N w99->w103->c61->p21->p11
16362.7000 M177 669688 2 11106.7000 c49 p11 114 N c49->p21->p11
16379.9000 M456 617520 2 2971.9000 p21 c46 250 N p21->c57->c46
16406.5000 M386 510340 2 5060.5000 w88 c64 215 N w88->p20->c64
16534.8000 M95 563385 2 13684.8000 w92 c77 71 N w92->w106->c77
