# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
19905.8000 M426 805894 1 7362.8000 c66 p17 177 N c66->p17
20049.4000 M593 595689 3 2517.4000 p16 p0 258 N p16->c65->p14->p0
20154.5000 M510 922635 1 5129.5000 c56 p29 214 N c56->p29
20180.7000 M554 598633 2 3818.7000 c54 w90 236 N c54->c64->w90
20215.0000 M656 957003 1 810.0000 p36 p22 286 N p36->p22
20237.6000 M374 683281 2 9241.6000 p2 p12 145 N p2->p8->p12
20296.7000 M424 845697 3 7809.7000 c63 c56 169 N c63->w113->p19->c56
20312.1000 M631 646697 1 1652.1000 c47 w83 272 N c47->w83
20319.2000 M582 801556 1 3119.2000 p25 c76 248 N p25->c76
20363.6000 M224 647560 3 13716.6000 c58 c69 71 N c58->c44->p12->c69
20410.6000 M218 973449 3 13947.6000 w98 t121 67 N w98->w84->w85->t121
20414.0000 M467 995764 1 6688.0000 c76 c42 188 N c76->c42
20478.1000 M357 714660 1 9973.1000 c72 w108 133 N c72->w108
20489.7000 M604 683841 1 2645.7000 c49 p35 255 N c49->p35
20512.0000 M186 648681 3 14995.0000 p7 w90 50 N p7->w99->c78->w90
20559.5000 M414 502802 2 8374.5000 p31 w83 160 N p31->p8->w83
20561.6000 M610 510882 1 2536.6000 p8 w83 257 N p8->w83
20575.8000 M471 664120 1 6719.8000 w94 w87 188 N w94->w87
20595.6000 M659 717762 1 1104.6000 c71 w93 281 N c71->w93
20598.8000 M418 935430 2 8299.8000 p7 w109 161 N p7->p21->w109
20641.7000 M508 711408 4 5678.7000 w80 p9 205 N w80->p20->c75->w85->p9
20708.5000 M584 553596 1 3440.5000 p15 c68 242 N p15->c68
20744.1000 M535 638760 2 4960.1000 w83 c44 217 N w83->c48->c44
20749.8000 M558 957312 1 4266.8000 w118 w109 228 N w118->w109
20763.6000 M532 852949 1 5065.6000 p23 w110 215 N p23->w110
20780.9000 M612 659960 1 2698.9000 w91 c64 255 N w91->c64
20787.0000 M296 724579 1 12039.0000 t121 c44 99 N t121->c44
20841.3000 M205 831486 3 14754.3000 p0 t124 54 N p0->p9->t120->t124
20886.8000 M684 770897 1 656.8000 c49 p10 289 N c49->p10
20912.9000 M491 816757 2 6451.9000 p30 c66 192 N p30->p37->c66
20928.8000 M388 989383 1 9525.8000 w100 p10 141 N w100->p10
